distribution,param,loglik,aic,ks,stock,name,n_positive,best_by_aic,best_by_ks
指数分布,mean=0.201508,457018.5753893021,-914035.1507786042,0.1585558387382915,000001,平安银行,759258,False,False
对数正态分布,mu=-2.4626; sigma=1.37709,549468.5189419899,-1098933.0378839797,0.09316749233778693,000001,平安银行,759258,True,True
幂律分布,xmin=0.01; alpha=1.46673,531934.7936919872,-1063865.5873839743,0.1913660964139054,000001,平安银行,759258,False,False
指数分布,mean=1.2102,-150513.6096197539,301029.2192395078,0.22050756564342378,000612,焦作万方,126399,False,False
对数正态分布,mu=-1.19005; sigma=2.02328,-118006.44549167542,236016.89098335084,0.09522572569853371,000612,焦作万方,126399,True,True
幂律分布,xmin=0.01; alpha=1.29282,-131222.10724513116,262448.2144902623,0.22297430835221854,000612,焦作万方,126399,False,False
指数分布,mean=1.57235,-141310.51751710678,282623.03503421356,0.14050743614942124,002251,步步高,97283,False,False
对数正态分布,mu=-0.558351; sigma=1.65403,-132674.81869261802,265353.63738523604,0.059919312290050875,002251,步步高,97283,True,True
幂律分布,xmin=0.01; alpha=1.24711,-178959.87626790907,357923.75253581814,0.3013436532600039,002251,步步高,97283,False,False
指数分布,mean=0.116291,1515117.8590609543,-3030233.7181219086,0.23040444231446477,002277,友阿股份,1315592,False,False
对数正态分布,mu=-3.06001; sigma=1.25703,1858039.3053836757,-3716074.6107673515,0.12493632082153536,002277,友阿股份,1315592,False,True
幂律分布,xmin=0.01; alpha=1.64718,2137681.881478829,-4275359.762957658,0.23443134345602587,002277,友阿股份,1315592,True,False
指数分布,mean=0.819357,-149503.5758285846,299009.1516571692,0.20884067138855017,002457,青龙管业,186701,False,False
对数正态分布,mu=-1.46881; sigma=1.86574,-107127.4653496599,214258.9306993198,0.09018183229181392,002457,青龙管业,186701,True,True
幂律分布,xmin=0.01; alpha=1.31884,-125884.72017790447,251773.44035580894,0.2144403028344979,002457,青龙管业,186701,False,False
指数分布,mean=0.413506,-43254.78349550639,86511.56699101278,0.18655295878426176,300131,英唐智控,369966,False,False
对数正态分布,mu=-1.92492; sigma=1.56023,22621.239036685336,-45238.47807337067,0.06781719263704314,300131,英唐智控,369966,True,True
幂律分布,xmin=0.01; alpha=1.3731,-22564.757171247853,45133.514342495706,0.20595045227001152,300131,英唐智控,369966,False,False
指数分布,mean=0.781937,-147487.6026549804,294977.2053099608,0.21735077113723184,300227,光韵达,195602,False,False
对数正态分布,mu=-1.53427; sigma=1.86528,-99381.89897495993,198767.79794991986,0.09176346833780036,300227,光韵达,195602,True,True
幂律分布,xmin=0.01; alpha=1.32564,-114956.55827481695,229917.1165496339,0.20729782462906488,300227,光韵达,195602,False,False
指数分布,mean=1.14147,-151722.802182537,303447.604365074,0.2700500510831821,300228,富瑞特装,133993,False,False
对数正态分布,mu=-1.42876; sigma=2.09965,-98076.26642274312,196156.53284548625,0.10794472880754549,300228,富瑞特装,133993,False,True
幂律分布,xmin=0.01; alpha=1.31482,-97412.20058882755,194828.4011776551,0.1931511605129056,300228,富瑞特装,133993,True,False
指数分布,mean=0.330234,50012.13794643519,-100022.27589287038,0.2522801018444452,300684,中石科技,463279,False,False
对数正态分布,mu=-2.32723; sigma=1.65411,187638.93902317405,-375273.8780463481,0.11661674895903412,300684,中石科技,463279,False,True
幂律分布,xmin=0.01; alpha=1.43899,233470.2237389679,-466936.4474779358,0.20085089114766697,300684,中石科技,463279,True,False
