stock,name,board,total_orders,limit_orders,market_orders,other_orders,limit_share,market_share,avg_order_price,avg_order_qty,vwap_trade_price,trade_value_yuan,trade_volume_shares,valid_trade_count
002277,友阿股份,深市中小板/主板,1775242,1771617,3392,233,0.997958024877735,0.0019107254109580554,6.6492929820389595,7364.357103989202,6.859317867155856,14702391653.600002,2143418914.0,1099694
000001,平安银行,深市主板,1064808,1060366,4030,412,0.9958283559101735,0.003784719874381109,11.802970848110046,3611.2054652106294,11.798776030367604,14195626883.25,1203144025.0,692338
300684,中石科技,创业板,723544,720924,2599,21,0.996378934798713,0.003592041396238515,23.52673031298647,890.5515835940869,23.518232909825777,5538020193.29,235477734.0,502975
300131,英唐智控,创业板,475003,474670,306,27,0.999298951796094,0.0006442064576434254,8.10150638811454,3544.5777352985137,8.039442192843612,4209621033.7999997,523621034.0,304617
300227,光韵达,创业板,270252,270010,149,93,0.999104539466868,0.000551337270399479,8.996229116548019,2056.050837736631,8.912275578154242,1622538661.3200002,182056608.0,177744
002457,青龙管业,深市中小板/主板,247824,247606,159,59,0.999120343469559,0.0006415843501840015,12.000096557581648,1543.110388824327,11.95840556340842,1455626836.27,121724157.0,161989
300228,富瑞特装,创业板,206842,206744,71,27,0.9995262084102842,0.00034325717214105453,7.214842747171955,2070.898400711654,7.156838270960072,936712714.58,130883594.0,138736
000612,焦作万方,深市主板,194469,193886,382,201,0.9970020928785565,0.0019643233625924955,6.543459727746158,2778.0860857000343,6.529990613630504,1058191117.1300001,162050940.0,125456
002251,步步高,深市中小板/主板,104919,104866,49,4,0.9994948484068662,0.0004670269445953545,3.971979636449976,9023.337098142376,3.9644472114320752,1129666346.78,284949272.0,65011
301115,建科股份,创业板,0,0,0,0,,,,,,0.0,0.0,0
