signal,family,horizon_minutes,n_obs,pearson_ic,spearman_ic,preferred_direction,usable_direction_accuracy,abs_pearson_ic
KDJ J centered,technical_indicator,5,514907,-0.030944813265938804,-0.06600535636469082,contrarian,0.5897336800626132,0.030944813265938804
MA gap (20),technical_indicator,5,510886,-0.019581062902180472,-0.05891870644601901,contrarian,0.5908754594958563,0.019581062902180472
RSI centered,technical_indicator,5,473961,-0.015319739038405417,-0.048388323699423884,contrarian,0.5848603577087566,0.015319739038405417
KDJ J centered,technical_indicator,15,514897,-0.012458977246241062,-0.0342548919993664,contrarian,0.5549653620044397,0.012458977246241062
MA gap (20),technical_indicator,15,510876,-0.007719502333012941,-0.02931832024924708,contrarian,0.5557023622170546,0.007719502333012941
Kalman slope,causal_filter,15,514900,-0.003274459203159236,-0.01012321554165713,contrarian,0.5484734899980579,0.003274459203159236
MA gap (20),technical_indicator,30,510861,-0.01004636917745626,-0.018624191089415935,contrarian,0.5395322798177977,0.01004636917745626
Kalman slope,causal_filter,30,514885,-0.008261847416392078,-0.00626332504639152,contrarian,0.5354477213358323,0.008261847416392078
KDJ J centered,technical_indicator,30,514882,-0.006550314510025461,-0.020735386909625255,contrarian,0.536783185273519,0.006550314510025461
MA gap (20),technical_indicator,60,510831,-0.009431440632292884,-0.007939078723296153,contrarian,0.5250170800127636,0.009431440632292884
MACD hist,technical_indicator,60,514859,-0.007187699219418906,-0.005404697738865283,contrarian,0.5222789151981416,0.007187699219418906
KDJ J centered,technical_indicator,60,514852,-0.0030293820919990513,-0.010263642043637305,contrarian,0.5246090138525246,0.0030293820919990513
