code,name,trading_days,ac_avg_price,twap_avg_price,vwap_avg_price,ac_minus_twap_bps,ac_minus_vwap_bps,ac_first_half_ratio,vwap_first_half_ratio,intraday_return
000002,万科A,19,3.767453424717211,3.7671295689867224,3.766743269618676,0.8940349306641477,1.742029956805181,0.5213087530124715,0.3894883453140124,-0.005145572146131223
000858,五粮液,19,89.35268738359339,89.35265018007617,89.37870049892707,0.004049848345975461,-3.0513296742584157,0.4965002712070188,0.3754182365243894,-0.003264558362140972
002594,比亚迪,19,98.07296429425854,98.0729511535877,98.1134491950002,0.001464281792134215,-4.18257171745525,0.49644776073552066,0.3879804957757503,-0.0018642794721451521
300059,东方财富,19,20.271838720811093,20.270900392604453,20.26256082123024,0.4691527834493015,4.542621244940121,0.5077753142212552,0.289665184478474,0.00048370341984949863
300750,宁德时代,19,428.1736357875042,428.17355182722946,428.58647582176786,0.0020399570183363865,-9.737867160545196,0.49635508754066704,0.36795403881714567,-0.008420320114303007
600036,招商银行,19,37.741781908440316,37.74177640728442,37.74721638166169,0.0014646275549677842,-1.427800144443787,0.49855336386041355,0.5973357381646632,-0.0019179989135430673
600519,贵州茅台,19,1340.242306398513,1340.2423055858799,1341.101079995268,5.856572361576253e-06,-6.522611610335743,0.4980137140513932,0.583674364749362,-0.002557417505690042
600900,长江电力,19,26.972567368619917,26.97256190315115,26.971916962178984,0.0020315791890289005,0.2462625793527091,0.4988625758373029,0.6002662449703136,0.00023289914325471574
601318,中国平安,19,56.854536897054864,56.854463163335005,56.897976811488526,0.013116725709501415,-7.619286057904611,0.49780023458409267,0.5780408843372904,-0.004195057600768196
601888,中国中免,19,60.47492117755937,60.474900095418796,60.52294003300657,0.0035986773060907233,-8.241160278220756,0.49947164770313646,0.6143947495226645,-0.006611893238253384
