partition,code,name,n,mean,std,skew,excess_kurtosis,jarque_bera_stat,jarque_bera_p,ks_stat,ks_p,tail_prob_abs_gt_3sigma
等时间,000002,万科A,457,-0.00015801857708541443,0.003987433545112564,0.3552396093970326,5.262941162676464,522.9385352415354,2.7883024799901324e-114,0.20848323643481348,6.675777699913998e-18,0.0175054704595186
等时间,000858,五粮液,457,-0.00013430325702981432,0.0026884843161293593,1.1496044743739304,8.922553593596115,1578.6557351408574,0.0,0.15622380007270897,3.3052662481168303e-10,0.0262582056892779
等时间,002594,比亚迪,457,-9.360059916175905e-05,0.0024963557068065105,0.4948248042525991,7.258831333324025,996.4980169004107,4.103977927245794e-217,0.09172272391224756,0.0008516218190767936,0.0262582056892779
等时间,300059,东方财富,457,2.0262922480733907e-05,0.004430648428405349,2.760956899736984,24.730458940788587,11957.733567584986,0.0,0.12486342168725117,1.1413039367816677e-06,0.015317286652078774
等时间,300750,宁德时代,457,-0.000350992162114063,0.004256326889589901,1.3952566528607426,13.247232148905887,3409.877136012529,0.0,0.07752923073857032,0.007772526281762607,0.01312910284463895
等时间,600036,招商银行,456,-7.705041728126723e-05,0.0012818740964753912,0.18208259189212675,4.47986255853528,373.3190678852979,8.60586272202456e-82,0.12844995601962428,5.101213596188508e-07,0.017543859649122806
等时间,600519,贵州茅台,456,-0.000128447018429371,0.002117015051699415,1.978790262413193,16.057469907244915,5080.1946122194195,0.0,0.14942144860148887,2.3676779671623227e-09,0.015350877192982455
等时间,600900,长江电力,456,-1.7071152219088327e-05,0.0014918418018096049,0.7058499727718419,5.412065702652082,579.3669908435697,1.556167854319719e-126,0.12846824895191,5.079181640980883e-07,0.015350877192982455
等时间,601318,中国平安,456,-0.00016867682298779102,0.0028461976046828532,1.114491172864805,7.83526233595531,1230.9886920245535,4.945405234889141e-268,0.09542075485471258,0.00045860550540540964,0.015350877192982455
等时间,601888,中国中免,456,-0.00031790845641959856,0.0037077483636377014,-0.6192051070144321,11.704390278332554,2569.4436563417034,0.0,0.13076481348745395,2.9352715327621274e-07,0.02412280701754386
